[2026-03-05 20:57:04,833: INFO: main: Welcome to the Kidney Tumor Identification System]
[2026-03-05 21:02:02,875: INFO: main: Welcome to the Kidney Tumor Identification System]
[2026-03-19 18:42:55,581: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-19 18:42:55,583: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-19 18:42:55,585: INFO: common: created directory at: artifacts]
[2026-03-19 18:42:55,587: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-19 18:59:19,144: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-19 18:59:19,148: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-19 18:59:19,149: INFO: common: created directory at: artifacts]
[2026-03-19 18:59:19,151: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-19 18:59:19,152: INFO: 1944305042: Downloading data from https://drive.google.com/file/d/1cE9Q5ImarXFPCQiDz42-7NRehyUuDEdQ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 18:59:39,510: INFO: 1944305042: Downloaded data from https://drive.google.com/file/d/1cE9Q5ImarXFPCQiDz42-7NRehyUuDEdQ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 22:46:50,863: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-19 22:46:50,865: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-19 22:46:50,878: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-19 22:46:50,880: INFO: common: created directory at: artifacts]
[2026-03-19 22:46:50,880: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-19 22:46:50,881: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1cE9Q5ImarXFPCQiDz42-7NRehyUuDEdQ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 22:49:04,672: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-19 22:49:04,673: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-19 22:49:04,674: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-19 22:49:04,674: INFO: common: created directory at: artifacts]
[2026-03-19 22:49:04,674: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-19 22:49:04,674: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1cE9Q5ImarXFPCQiDz42-7NRehyUuDEdQ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 22:51:26,925: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-03-19 22:51:26,926: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-03-19 22:51:26,927: INFO: common: yaml file: params.yaml loaded successfully]
[2026-03-19 22:51:26,927: INFO: common: created directory at: artifacts]
[2026-03-19 22:51:26,928: INFO: common: created directory at: artifacts/data_ingestion]
[2026-03-19 22:51:26,928: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1cE9Q5ImarXFPCQiDz42-7NRehyUuDEdQ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 22:51:50,171: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1cE9Q5ImarXFPCQiDz42-7NRehyUuDEdQ/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-19 22:51:50,729: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
